"bairro","cidade","estado"
"CENTRO","BOCAINA","SÃO PAULO"
"CENTRO","BOFETE","SÃO PAULO"
"SÃO ROQUE NOVO","BOFETE","SÃO PAULO"
"CENTRO","BOITUVA","SÃO PAULO"
"NOVO MUNDO","BOITUVA","SÃO PAULO"
"SANTO ANTONIO","BOITUVA","SÃO PAULO"
"CENTRO","BOM JESUS DOS PERDÕES","SÃO PAULO"
"CENTRO","BOM SUCESSO DE ITARARÉ","SÃO PAULO"
"CENTRO","BORÁ","SÃO PAULO"
"CENTRO","BORACÉIA","SÃO PAULO"
"CENTRO","BORBOREMA","SÃO PAULO"
"CENTRO","BOREBI","SÃO PAULO"
"ALTO","BOTUCATU","SÃO PAULO"
"JARDIM CARAVELAS","GOIÂNIA","GOIÁS"
"SETOR OESTE (SOBRADINHO II)","BRASÍLIA","DISTRITO FEDERAL"
"SANTA CATARINA","CARIACICA","ESPÍRITO SANTO"
"JARDIM VERA CRUZ","CONTAGEM","MINAS GERAIS"
"AREIAS","SOUSA","PARAÍBA"
"JARDIM BELA VISTA","SOUSA","PARAÍBA"
"SÃO SEBASTIÃO","PICOS","PIAUÍ"
"CANTO DA VARZEA","PICOS","PIAUÍ"
"AUGUSTO BRAGA","SOUSA","PARAÍBA"
"JARDIM GUANABARA II","RONDONÓPOLIS","MATO GROSSO"
"JARDIM SERRA DOURADA II","RONDONÓPOLIS","MATO GROSSO"
"JARDIM SALVADOR","TRINDADE","GOIÁS"
"RESIDENCIAL FONTE DAS ÁGUAS","GOIÂNIA","GOIÁS"
"RESIDENCIAL MUNDO NOVO 2","GOIÂNIA","GOIÁS"
"MALVA","PICOS","PIAUÍ"
"PASSAGEM DAS PEDRAS","PICOS","PIAUÍ"
"BOA VISTA","PICOS","PIAUÍ"
"BOSQUE DAS ARARAS","CAMPO GRANDE","MATO GROSSO DO SUL"
"SETOR NOROESTE","BRASÍLIA","DISTRITO FEDERAL"
"PARQUE DOS GIRASSÓIS","UBERABA","MINAS GERAIS"
"CONDOMÍNIO SANTA RITA - 7ª ETAPA","GOIÂNIA","GOIÁS"
"LOTEAMENTO SANTA EMÍLIA","MOCOCA","SÃO PAULO"
"LOTEAMENTO RESIDENCIAL SAMAMBAIA","MOCOCA","SÃO PAULO"
"JARDIM TERRAS DE SANTA ELISA","ARARAS","SÃO PAULO"
"PARADA 40","SÃO GONÇALO","RIO DE JANEIRO"
"JARDIM PETRÓPOLIS","SÃO JOSÉ DOS CAMPOS","SÃO PAULO"
"CONJUNTO RESIDENCIAL IRISVILLE","GOIÂNIA","GOIÁS"
"CONJUNTO RESIDENCIAL IRISVILLE - 2ª ETAPA","GOIÂNIA","GOIÁS"
"CENTRAL PARK MORADA DO SOL","ARARAQUARA","SÃO PAULO"
"MAIOBAO","PAÇO DO LUMIAR","MARANHÃO"
"SANTA REGINA","CAMBORIÚ","SANTA CATARINA"
"TABULEIRO (MONTE ALEGRE)","CAMBORIÚ","SANTA CATARINA"
"MONTE ALEGRE (MONTE ALEGRE)","CAMBORIÚ","SANTA CATARINA"
"VÁRZEA DO RANCHINHO (MONTE ALEGRE)","CAMBORIÚ","SANTA CATARINA"
"ESTRELA PORÃ II","DOURADOS","MATO GROSSO DO SUL"
"JARDIM VILICO CANTARELLI","RIBEIRÃO PRETO","SÃO PAULO"
"JARDIM SERRA DOURADA I","RONDONÓPOLIS","MATO GROSSO"
"JARDIM PINDORAMA I","RONDONÓPOLIS","MATO GROSSO"
"JARDIM PRIMAVERA I","RONDONÓPOLIS","MATO GROSSO"
"JARDIM DAS ESMERALDAS","APARECIDA DE GOIÂNIA","GOIÁS"
"SETOR JARDIM LUZ","APARECIDA DE GOIÂNIA","GOIÁS"
"JARDIM MARIA INÊS","APARECIDA DE GOIÂNIA","GOIÁS"
"GOLF PARK","CARAPICUÍBA","SÃO PAULO"
"GOLF GARDENS","CARAPICUÍBA","SÃO PAULO"
"CONJUNTO HABITACIONAL SAADA NADER ABI CHEDID","BRAGANÇA PAULISTA","SÃO PAULO"
"VILA SATÉLITE","SARZEDO","MINAS GERAIS"
"JARDIM RESIDENCIAL CAMPO NOVO","LIMEIRA","SÃO PAULO"
"JARDIM REGENTE","SOROCABA","SÃO PAULO"
"CAPIM FINO","PIRACICABA","SÃO PAULO"
"ÁGUA SANTA","PIRACICABA","SÃO PAULO"
"MONTE LÍBANO","CACHOEIRO DE ITAPEMIRIM","ESPÍRITO SANTO"
"SANTA CATARINA 1","CARIACICA","ESPÍRITO SANTO"
